01, Increments, 6, "i++", "i--"
02, NegateConditionals, 6, "i < len", "i >= len"
03, NegateConditionals, 8, "d != 0", "d == 0"
04, NegateConditionals, 11, "a[start + i] == 0", "a[start + i] != 0"
05, NegateConditionals, 15, "a[start + i] != 0", "a[start + i] == 0"
06, Math, 7, "str.charAt(i) - a[start + i]", "str.charAt(i) + a[start + i]"
07, Math, 7, "start + i", "start - i"
08, Math, 11, "start + i", "start - i"
09, Math, 15, "start + i", "start - i"
10, Math, 16, "start + i", "start - i"
11, InvertNegatives, 16, "-a[start + i]", "a[start + i]"
12, ConditionalsBoundary, 6, "i < len", "i <= len"
