01, ConditionalsBoundary, 6, "i < length", "i <= length"
02, ConditionalsBoundary, 8, "c >= 0x0001", "c > 0x0001"
03, ConditionalsBoundary, 8, "c <= 0x007F", "c < 0x007F"
04, ConditionalsBoundary, 11, "c > 0x07FF", "c >= 0x07FF"
05, Math, 7, "i + offset", "i - offset"
06, NegateConditionals, 6, "i < length", "i >= length"
07, NegateConditionals, 8, "c >= 0x0001", "c < 0x0001"
08, NegateConditionals, 8, "c <= 0x007F", "c > 0x007F"
09, NegateConditionals, 11, "c > 0x07FF", "c <= 0x07FF"
10, Increments, 6, "i++", "i--"
11, Increments, 9, "utflen++", "utflen--"
