1, InvertNegatives, 13, "-1", "1"
2, PrimitiveReturns, 7, "10", "0"
3, PrimitiveReturns, 8, "11", "0"
4, PrimitiveReturns, 9, "12", "0"
5, PrimitiveReturns, 10, "13", "0"
6, PrimitiveReturns, 11, "14", "0"
7, PrimitiveReturns, 12, "15", "0"
8, Math, 6, "ch - '0'", "ch + '0'"
