01, ConditionalsBoundary, 9, "i < (offset + len)", "i <= (offset + len)"
02, ConditionalsBoundary, 15, "shiftBy < 32", "shiftBy <= 32"
03, Math, 9, "offset + len", "offset - len"
04, Math, 16, "((long)(tmp[i] & 0xff)) << shiftBy", "((long)(tmp[i] & 0xff)) >> shiftBy"
05, Math, 16, "tmp[i] & 0xff", "tmp[i] | 0xff"
06, Increments, 9, "i++", "i--"
07, Increments, 11, "cnt++", "cnt--"
08, Increments, 17, "i++", "i--"
09, NegateConditionals, 9, "i < (offset + len)", "i >= (offset + len)"
10, NegateConditionals, 15, "shiftBy < 32", "shiftBy >= 32"
