01, ConditionalsBoundary, 8, "o1.doubleValue() < o2.doubleValue()", "o1.doubleValue() <= o2.doubleValue()"
02, ConditionalsBoundary, 9, "o1.doubleValue() > o2.doubleValue()", "o1.doubleValue() >= o2.doubleValue()"
03, PrimitiveReturns, 7, "1", "0"
04, PrimitiveReturns, 9, "1", "0"
05, NegateConditionals, 5, "o1 == o2", "o1 != o2"
06, NegateConditionals, 6, "o1 == null", "o1 != null"
07, NegateConditionals, 7, "o2 == null", "o2 != null"
08, NegateConditionals, 8, "o1.doubleValue() < o2.doubleValue()", "o1.doubleValue() >= o2.doubleValue()"
09, NegateConditionals, 9, "o1.doubleValue() > o2.doubleValue()", "o1.doubleValue() <= o2.doubleValue()"
10, InvertNegatives, 6, "-1", "1"
11, InvertNegatives, 8, "-1", "1"
