01, Math, 5, "length * 4", "length / 4"
02, Math, 7, "length / 8", "length * 8"
03, Math, 11, "byteBuffer[ptemp] & 0xff", "byteBuffer[ptemp] | 0xff"
04, Math, 13, ""0" + hexVal", ""0" - hexVal"
05, Math, 15, "hexVal + " "", "hexVal - " ""
06, Math, 21, "(char)byteBuffer[p] + " "", "(char)byteBuffer[p] - " ""
07, Math, 32, "byteBuffer[i] & 0xff", "byteBuffer[i] | 0xff"
08, Math, 34, ""0" + hexVal", ""0" - hexVal"
09, Math, 36, "hexVal + " "", "hexVal - " ""
10, Math, 45, "(char)byteBuffer[i] + " "", "(char)byteBuffer[i] - " ""
11, Increments, 8, "i++", "i--"
12, Increments, 10, "j++", "j--"
13, Increments, 16, "ptemp++", "ptemp--"
14, Increments, 19, "j++", "j--"
15, Increments, 26, "p++", "p--"
16, Increments, 31, "i++", "i--"
17, Increments, 37, "n++", "n--"
18, Increments, 39, "i++", "i--"
19, Increments, 43, "i++", "i--"
20, NegateConditionals, 8, "i < rows", "i >= rows"
21, NegateConditionals, 8, "p < length", "p >= length"
22, NegateConditionals, 10, "j < 8", "j >= 8"
23, NegateConditionals, 12, "hexVal.length() == 1", "hexVal.length() != 1"
24, NegateConditionals, 19, "j < 8", "j >= 8"
25, NegateConditionals, 20, "byteBuffer[p] > 32", "byteBuffer[p] <= 32"
26, NegateConditionals, 20, "byteBuffer[p] < 127", "byteBuffer[p] >= 127"
27, NegateConditionals, 31, "i < length", "i >= length"
28, NegateConditionals, 33, "hexVal.length() == 1", "hexVal.length() != 1"
29, NegateConditionals, 39, "i < 8", "i >= 8"
30, NegateConditionals, 43, "i < length", "i >= length"
31, NegateConditionals, 44, "byteBuffer[i] > 32", "byteBuffer[i] <= 32"
32, NegateConditionals, 44, "byteBuffer[i] < 127", "byteBuffer[i] >= 127"
33, VoidMethodCalls, 15, "outputBuf.append(hexVal + " ");
", "DELETED"
34, VoidMethodCalls, 18, "outputBuf.append("    ");
", "DELETED"
35, VoidMethodCalls, 21, "outputBuf.append((char)byteBuffer[p] + " ");
", "DELETED"
36, VoidMethodCalls, 24, "outputBuf.append(". ");
", "DELETED"
37, VoidMethodCalls, 28, "outputBuf.append("\n");
", "DELETED"
38, VoidMethodCalls, 36, "outputBuf.append(hexVal + " ");
", "DELETED"
39, VoidMethodCalls, 40, "outputBuf.append("   ");
", "DELETED"
40, VoidMethodCalls, 42, "outputBuf.append("    ");
", "DELETED"
41, VoidMethodCalls, 45, "outputBuf.append((char)byteBuffer[i] + " ");
", "DELETED"
42, VoidMethodCalls, 48, "outputBuf.append(". ");
", "DELETED"
43, VoidMethodCalls, 51, "outputBuf.append("\n");
", "DELETED"
44, ConditionalsBoundary, 8, "i < rows", "i <= rows"
45, ConditionalsBoundary, 8, "p < length", "p <= length"
46, ConditionalsBoundary, 10, "j < 8", "j <= 8"
47, ConditionalsBoundary, 19, "j < 8", "j <= 8"
48, ConditionalsBoundary, 20, "byteBuffer[p] > 32", "byteBuffer[p] >= 32"
49, ConditionalsBoundary, 20, "byteBuffer[p] < 127", "byteBuffer[p] <= 127"
50, ConditionalsBoundary, 31, "i < length", "i <= length"
51, ConditionalsBoundary, 39, "i < 8", "i <= 8"
52, ConditionalsBoundary, 43, "i < length", "i <= length"
53, ConditionalsBoundary, 44, "byteBuffer[i] > 32", "byteBuffer[i] >= 32"
54, ConditionalsBoundary, 44, "byteBuffer[i] < 127", "byteBuffer[i] <= 127"
