1, Math, 11, "candidate % 2", "candidate * 2"
2, Math, 17, "candidate % factor", "candidate * factor"
3, NegateConditionals, 5, "candidate < 2", "candidate >= 2"
4, NegateConditionals, 8, "candidate == 2", "candidate != 2"
5, NegateConditionals, 11, "candidate % 2 == 0", "candidate % 2 != 0"
6, NegateConditionals, 16, "factor <= square", "factor > square"
7, NegateConditionals, 17, "candidate % factor == 0", "candidate % factor != 0"
8, ConditionalsBoundary, 5, "candidate < 2", "candidate <= 2"
9, ConditionalsBoundary, 16, "factor <= square", "factor < square"
