1, Increments, 6, "i++", "i--"
2, NegateConditionals, 5, "start >= str.length()", "start < str.length()"
3, NegateConditionals, 6, "i < str.length()", "i >= str.length()"
4, NegateConditionals, 7, "delims.indexOf(str.charAt(i)) != -1", "delims.indexOf(str.charAt(i)) == -1"
5, ConditionalsBoundary, 5, "start >= str.length()", "start > str.length()"
6, ConditionalsBoundary, 6, "i < str.length()", "i <= str.length()"
7, InvertNegatives, 5, "-1", "1"
8, InvertNegatives, 7, "-1", "1"
9, InvertNegatives, 9, "-1", "1"
