01, NegateConditionals, 5, "mm < 1", "mm >= 1"
02, NegateConditionals, 5, "mm > 12", "mm <= 12"
03, NegateConditionals, 9, "yy < year", "yy >= year"
04, NegateConditionals, 10, "yy == year", "yy != year"
05, NegateConditionals, 10, "mm < month", "mm >= month"
06, Math, 7, "cal.get(Calendar.YEAR) - 2000", "cal.get(Calendar.YEAR) + 2000"
07, Math, 8, "cal.get(Calendar.MONTH) + 1", "cal.get(Calendar.MONTH) - 1"
08, ConditionalsBoundary, 5, "mm < 1", "mm <= 1"
09, ConditionalsBoundary, 5, "mm > 12", "mm >= 12"
10, ConditionalsBoundary, 9, "yy < year", "yy <= year"
11, ConditionalsBoundary, 10, "mm < month", "mm <= month"
