01, NegateConditionals, 7, "i < h", "i >= h"
02, NegateConditionals, 9, "by < 0", "by >= 0"
03, NegateConditionals, 12, "ey >= h", "ey < h"
04, NegateConditionals, 17, "y <= ey", "y > ey"
05, Math, 8, "i - rad", "i + rad"
06, Math, 8, "i + rad", "i - rad"
07, Math, 13, "h - 1", "h + 1"
08, Math, 20, "tmp / k", "tmp * k"
09, ConditionalsBoundary, 7, "i < h", "i <= h"
10, ConditionalsBoundary, 9, "by < 0", "by <= 0"
11, ConditionalsBoundary, 12, "ey >= h", "ey > h"
12, ConditionalsBoundary, 17, "y <= ey", "y < ey"
13, Increments, 7, "i++", "i--"
14, Increments, 17, "y++", "y--"
15, Increments, 17, "k++", "k--"
