01, Increments, 11, "++k", "--k"
02, Increments, 12, "ptr++", "ptr--"
03, Increments, 13, "ptr++", "ptr--"
04, Increments, 14, "ptr++", "ptr--"
05, Increments, 15, "ptr++", "ptr--"
06, Math, 5, "b.length / 4", "b.length * 4"
07, Math, 12, "b[ptr++] & 0xff", "b[ptr++] | 0xff"
08, Math, 13, "b[ptr++] & 0xff", "b[ptr++] | 0xff"
09, Math, 14, "b[ptr++] & 0xff", "b[ptr++] | 0xff"
10, Math, 15, "b[ptr++] & 0xff", "b[ptr++] | 0xff"
11, Math, 17, "v0 + (v1 << 8) + (v2 << 16)+ (v3 << 24)", "v0 - (v1 << 8) - (v2 << 16)- (v3 << 24)"
12, Math, 17, "v1 << 8", "v1 >> 8"
13, Math, 17, "v2 << 16", "v2 >> 16"
14, Math, 17, "v3 << 24", "v3 >> 24"
15, NegateConditionals, 11, "k < len", "k >= len"
16, ConditionalsBoundary, 11, "k < len", "k <= len"
