01, Increments, 6, "h++", "h--"
02, Increments, 9, "h--", "h++"
03, ConditionalsBoundary, 5, "h < 0", "h <= 0"
04, ConditionalsBoundary, 8, "h > 1", "h >= 1"
05, ConditionalsBoundary, 11, "(h * 6) < 1", "(h * 6) <= 1"
06, ConditionalsBoundary, 14, "(h * 2) < 1", "(h * 2) <= 1"
07, ConditionalsBoundary, 17, "(h * 3) < 2", "(h * 3) <= 2"
08, NegateConditionals, 5, "h < 0", "h >= 0"
09, NegateConditionals, 8, "h > 1", "h <= 1"
10, NegateConditionals, 11, "(h * 6) < 1", "(h * 6) >= 1"
11, NegateConditionals, 14, "(h * 2) < 1", "(h * 2) >= 1"
12, NegateConditionals, 17, "(h * 3) < 2", "(h * 3) >= 2"
13, Math, 11, "h * 6", "h / 6"
14, Math, 12, "m1 + (m2 - m1) * h * 6", "m1 - (m2 - m1) * h * 6"
15, Math, 12, "(m2 - m1) * h * 6", "(m2 - m1) / h / 6"
16, Math, 12, "m2 - m1", "m2 + m1"
17, Math, 14, "h * 2", "h / 2"
18, Math, 17, "h * 3", "h / 3"
19, Math, 18, "m1 + (m2 - m1) * ((2f / 3) - h) * 6", "m1 - (m2 - m1) * ((2f / 3) - h) * 6"
20, Math, 18, "(m2 - m1) * ((2f / 3) - h) * 6", "(m2 - m1) / ((2f / 3) - h) / 6"
21, Math, 18, "m2 - m1", "m2 + m1"
22, Math, 18, "(2f / 3) - h", "(2f / 3) + h"
23, Math, 18, "2f / 3", "2f * 3"
