1, NegateConditionals, 10, "(index=line.indexOf(openChunk,index)) != -1", "(index=line.indexOf(openChunk,index)) == -1"
2, NegateConditionals, 12, "closeIndex != -1", "closeIndex == -1"
3, InvertNegatives, 6, "-1", "1"
4, InvertNegatives, 10, "-1", "1"
5, InvertNegatives, 12, "-1", "1"
6, Math, 11, "index + oc_length", "index - oc_length"
7, Math, 13, "index + oc_length", "index - oc_length"
