01, NegateConditionals, 5, "x == Double.NEGATIVE_INFINITY", "x != Double.NEGATIVE_INFINITY"
02, NegateConditionals, 6, "y == Double.NEGATIVE_INFINITY", "y != Double.NEGATIVE_INFINITY"
03, NegateConditionals, 7, "y <= x", "y > x"
04, Math, 7, "x + Math.log(1 + Math.exp(y - x))", "x - Math.log(1 + Math.exp(y - x))"
05, Math, 7, "1 + Math.exp(y - x)", "1 - Math.exp(y - x)"
06, Math, 7, "y - x", "y + x"
07, Math, 8, "y + Math.log(1 + Math.exp(x - y))", "y - Math.log(1 + Math.exp(x - y))"
08, Math, 8, "1 + Math.exp(x - y)", "1 - Math.exp(x - y)"
09, Math, 8, "x - y", "x + y"
10, ConditionalsBoundary, 7, "y <= x", "y < x"
