01, InvertNegatives, 15, "-8", "8"
02, InvertNegatives, 16, "-8", "8"
03, InvertNegatives, 16, "-16", "16"
04, InvertNegatives, 17, "-16", "16"
05, InvertNegatives, 17, "-24", "24"
06, InvertNegatives, 18, "-24", "24"
07, InvertNegatives, 18, "-32", "32"
08, InvertNegatives, 19, "-32", "32"
09, InvertNegatives, 19, "-40", "40"
10, InvertNegatives, 20, "-40", "40"
11, InvertNegatives, 20, "-48", "48"
12, InvertNegatives, 21, "-48", "48"
13, InvertNegatives, 21, "-56", "56"
14, InvertNegatives, 22, "-56", "56"
15, InvertNegatives, 22, "-64", "64"
16, InvertNegatives, 23, "-64", "64"
17, InvertNegatives, 23, "-72", "72"
18, InvertNegatives, 24, "-72", "72"
19, InvertNegatives, 24, "-80", "80"
20, ConditionalsBoundary, 5, "84 >= latitude", "84 > latitude"
21, ConditionalsBoundary, 5, "latitude >= 72", "latitude > 72"
22, ConditionalsBoundary, 6, "72 > latitude", "72 >= latitude"
23, ConditionalsBoundary, 6, "latitude >= 64", "latitude > 64"
24, ConditionalsBoundary, 7, "64 > latitude", "64 >= latitude"
25, ConditionalsBoundary, 7, "latitude >= 56", "latitude > 56"
26, ConditionalsBoundary, 8, "56 > latitude", "56 >= latitude"
27, ConditionalsBoundary, 8, "latitude >= 48", "latitude > 48"
28, ConditionalsBoundary, 9, "48 > latitude", "48 >= latitude"
29, ConditionalsBoundary, 9, "latitude >= 40", "latitude > 40"
30, ConditionalsBoundary, 10, "40 > latitude", "40 >= latitude"
31, ConditionalsBoundary, 10, "latitude >= 32", "latitude > 32"
32, ConditionalsBoundary, 11, "32 > latitude", "32 >= latitude"
33, ConditionalsBoundary, 11, "latitude >= 24", "latitude > 24"
34, ConditionalsBoundary, 12, "24 > latitude", "24 >= latitude"
35, ConditionalsBoundary, 12, "latitude >= 16", "latitude > 16"
36, ConditionalsBoundary, 13, "16 > latitude", "16 >= latitude"
37, ConditionalsBoundary, 13, "latitude >= 8", "latitude > 8"
38, ConditionalsBoundary, 14, "8 > latitude", "8 >= latitude"
39, ConditionalsBoundary, 14, "latitude >= 0", "latitude > 0"
40, ConditionalsBoundary, 15, "0 > latitude", "0 >= latitude"
41, ConditionalsBoundary, 15, "latitude >= -8", "latitude > -8"
42, ConditionalsBoundary, 16, "-8 > latitude", "-8 >= latitude"
43, ConditionalsBoundary, 16, "latitude >= -16", "latitude > -16"
44, ConditionalsBoundary, 17, "-16 > latitude", "-16 >= latitude"
45, ConditionalsBoundary, 17, "latitude >= -24", "latitude > -24"
46, ConditionalsBoundary, 18, "-24 > latitude", "-24 >= latitude"
47, ConditionalsBoundary, 18, "latitude >= -32", "latitude > -32"
48, ConditionalsBoundary, 19, "-32 > latitude", "-32 >= latitude"
49, ConditionalsBoundary, 19, "latitude >= -40", "latitude > -40"
50, ConditionalsBoundary, 20, "-40 > latitude", "-40 >= latitude"
51, ConditionalsBoundary, 20, "latitude >= -48", "latitude > -48"
52, ConditionalsBoundary, 21, "-48 > latitude", "-48 >= latitude"
53, ConditionalsBoundary, 21, "latitude >= -56", "latitude > -56"
54, ConditionalsBoundary, 22, "-56 > latitude", "-56 >= latitude"
55, ConditionalsBoundary, 22, "latitude >= -64", "latitude > -64"
56, ConditionalsBoundary, 23, "-64 > latitude", "-64 >= latitude"
57, ConditionalsBoundary, 23, "latitude >= -72", "latitude > -72"
58, ConditionalsBoundary, 24, "-72 > latitude", "-72 >= latitude"
59, ConditionalsBoundary, 24, "latitude >= -80", "latitude > -80"
60, NegateConditionals, 5, "84 >= latitude", "84 < latitude"
61, NegateConditionals, 5, "latitude >= 72", "latitude < 72"
62, NegateConditionals, 6, "72 > latitude", "72 <= latitude"
63, NegateConditionals, 6, "latitude >= 64", "latitude < 64"
64, NegateConditionals, 7, "64 > latitude", "64 <= latitude"
65, NegateConditionals, 7, "latitude >= 56", "latitude < 56"
66, NegateConditionals, 8, "56 > latitude", "56 <= latitude"
67, NegateConditionals, 8, "latitude >= 48", "latitude < 48"
68, NegateConditionals, 9, "48 > latitude", "48 <= latitude"
69, NegateConditionals, 9, "latitude >= 40", "latitude < 40"
70, NegateConditionals, 10, "40 > latitude", "40 <= latitude"
71, NegateConditionals, 10, "latitude >= 32", "latitude < 32"
72, NegateConditionals, 11, "32 > latitude", "32 <= latitude"
73, NegateConditionals, 11, "latitude >= 24", "latitude < 24"
74, NegateConditionals, 12, "24 > latitude", "24 <= latitude"
75, NegateConditionals, 12, "latitude >= 16", "latitude < 16"
76, NegateConditionals, 13, "16 > latitude", "16 <= latitude"
77, NegateConditionals, 13, "latitude >= 8", "latitude < 8"
78, NegateConditionals, 14, "8 > latitude", "8 <= latitude"
79, NegateConditionals, 14, "latitude >= 0", "latitude < 0"
80, NegateConditionals, 15, "0 > latitude", "0 <= latitude"
81, NegateConditionals, 15, "latitude >= -8", "latitude < -8"
82, NegateConditionals, 16, "-8 > latitude", "-8 <= latitude"
83, NegateConditionals, 16, "latitude >= -16", "latitude < -16"
84, NegateConditionals, 17, "-16 > latitude", "-16 <= latitude"
85, NegateConditionals, 17, "latitude >= -24", "latitude < -24"
86, NegateConditionals, 18, "-24 > latitude", "-24 <= latitude"
87, NegateConditionals, 18, "latitude >= -32", "latitude < -32"
88, NegateConditionals, 19, "-32 > latitude", "-32 <= latitude"
89, NegateConditionals, 19, "latitude >= -40", "latitude < -40"
90, NegateConditionals, 20, "-40 > latitude", "-40 <= latitude"
91, NegateConditionals, 20, "latitude >= -48", "latitude < -48"
92, NegateConditionals, 21, "-48 > latitude", "-48 <= latitude"
93, NegateConditionals, 21, "latitude >= -56", "latitude < -56"
94, NegateConditionals, 22, "-56 > latitude", "-56 <= latitude"
95, NegateConditionals, 22, "latitude >= -64", "latitude < -64"
96, NegateConditionals, 23, "-64 > latitude", "-64 <= latitude"
97, NegateConditionals, 23, "latitude >= -72", "latitude < -72"
98, NegateConditionals, 24, "-72 > latitude", "-72 <= latitude"
99, NegateConditionals, 24, "latitude >= -80", "latitude < -80"
