01, Math, 6, "(((-value / maxSize) + 1) * maxSize) + value", "(((-value / maxSize) + 1) * maxSize) - value"
02, Math, 6, "((-value / maxSize) + 1) * maxSize", "((-value / maxSize) + 1) / maxSize"
03, Math, 6, "(-value / maxSize) + 1", "(-value / maxSize) - 1"
04, Math, 6, "-value / maxSize", "-value * maxSize"
05, Math, 9, "value - ((value / maxSize) * maxSize)", "value + ((value / maxSize) * maxSize)"
06, Math, 9, "(value / maxSize) * maxSize", "(value / maxSize) / maxSize"
07, Math, 9, "value / maxSize", "value * maxSize"
08, InvertNegatives, 6, "-value", "value"
09, ConditionalsBoundary, 5, "value < 0", "value <= 0"
10, ConditionalsBoundary, 8, "value >= maxSize", "value > maxSize"
11, NegateConditionals, 5, "value < 0", "value >= 0"
12, NegateConditionals, 8, "value >= maxSize", "value < maxSize"
