1, ConditionalsBoundary, 14, "o1.length() < o2.length()", "o1.length() <= o2.length()"
2, NegateConditionals, 5, "o1 == null", "o1 != null"
3, NegateConditionals, 6, "o2 == null", "o2 != null"
4, NegateConditionals, 8, "o2 == null", "o2 != null"
5, NegateConditionals, 11, "o1.length() == o2.length()", "o1.length() != o2.length()"
6, NegateConditionals, 14, "o1.length() < o2.length()", "o1.length() >= o2.length()"
7, InvertNegatives, 9, "-1", "1"
8, InvertNegatives, 17, "-1", "1"
9, PrimitiveReturns, 15, "1", "0"
