01, PrimitiveReturns, 7, "1", "0"
02, PrimitiveReturns, 8, "2", "0"
03, PrimitiveReturns, 9, "3", "0"
04, PrimitiveReturns, 10, "4", "0"
05, PrimitiveReturns, 11, "5", "0"
06, PrimitiveReturns, 12, "6", "0"
07, PrimitiveReturns, 13, "7", "0"
08, PrimitiveReturns, 14, "8", "0"
09, PrimitiveReturns, 15, "9", "0"
10, PrimitiveReturns, 16, "0xa", "0"
11, PrimitiveReturns, 17, "0xa", "0"
12, PrimitiveReturns, 18, "0xb", "0"
13, PrimitiveReturns, 19, "0xb", "0"
14, PrimitiveReturns, 20, "0xc", "0"
15, PrimitiveReturns, 21, "0xc", "0"
16, PrimitiveReturns, 22, "0xd", "0"
17, PrimitiveReturns, 23, "0xd", "0"
18, PrimitiveReturns, 24, "0xe", "0"
19, PrimitiveReturns, 25, "0xe", "0"
20, PrimitiveReturns, 26, "0xf", "0"
21, PrimitiveReturns, 27, "0xf", "0"
22, InvertNegatives, 28, "-1", "1"
