01, Math, 5, "aOff + aLen", "aOff - aLen"
02, Math, 5, "bOff + bLen", "bOff - bLen"
03, Math, 9, "i + aOff", "i - aOff"
04, Math, 9, "i + bOff", "i - bOff"
05, ConditionalsBoundary, 5, "a.length < aOff + aLen", "a.length <= aOff + aLen"
06, ConditionalsBoundary, 5, "b.length < bOff + bLen", "b.length <= bOff + bLen"
07, ConditionalsBoundary, 8, "i < aLen", "i <= aLen"
08, NegateConditionals, 5, "aLen != bLen", "aLen == bLen"
09, NegateConditionals, 5, "a.length < aOff + aLen", "a.length >= aOff + aLen"
10, NegateConditionals, 5, "b.length < bOff + bLen", "b.length >= bOff + bLen"
11, NegateConditionals, 8, "i < aLen", "i >= aLen"
12, NegateConditionals, 9, "a[i + aOff] != b[i + bOff]", "a[i + aOff] == b[i + bOff]"
13, Increments, 8, "i++", "i--"
