01, Math, 15, "(tb >>> 4) & 0x000f", "(tb >>> 4) | 0x000f"
02, Math, 15, "tb >>> 4", "tb << 4"
03, Math, 17, "('a' + tmpChar) - 10", "('a' + tmpChar) + 10"
04, Math, 17, "'a' + tmpChar", "'a' - tmpChar"
05, Math, 20, "'0' + tmpChar", "'0' - tmpChar"
06, Math, 23, "tb & 0x000f", "tb | 0x000f"
07, Math, 25, "('a' + tmpChar) - 10", "('a' + tmpChar) + 10"
08, Math, 25, "'a' + tmpChar", "'a' - tmpChar"
09, Math, 28, "'0' + tmpChar", "'0' - tmpChar"
10, NegateConditionals, 5, "bytes == null", "bytes != null"
11, NegateConditionals, 13, "i < bytes.length", "i >= bytes.length"
12, NegateConditionals, 16, "tmpChar >= 10", "tmpChar < 10"
13, NegateConditionals, 24, "tmpChar >= 10", "tmpChar < 10"
14, ConditionalsBoundary, 13, "i < bytes.length", "i <= bytes.length"
15, ConditionalsBoundary, 16, "tmpChar >= 10", "tmpChar > 10"
16, ConditionalsBoundary, 24, "tmpChar >= 10", "tmpChar > 10"
17, Increments, 13, "i++", "i--"
