01, Math, 12, "intAsciiCode - intShiftToZero + shift", "intAsciiCode - intShiftToZero - shift"
02, Math, 12, "intAsciiCode - intShiftToZero", "intAsciiCode + intShiftToZero"
03, Math, 13, "(intAsciiCode % 26) + intShiftToZero", "(intAsciiCode % 26) - intShiftToZero"
04, Math, 13, "intAsciiCode % 26", "intAsciiCode * 26"
05, NegateConditionals, 8, "intAsciiCode >= 97", "intAsciiCode < 97"
06, NegateConditionals, 8, "intAsciiCode <= 122", "intAsciiCode > 122"
07, NegateConditionals, 9, "intAsciiCode >= 65", "intAsciiCode < 65"
08, NegateConditionals, 9, "intAsciiCode <= 90", "intAsciiCode > 90"
09, NegateConditionals, 11, "intShiftToZero > 0", "intShiftToZero <= 0"
10, ConditionalsBoundary, 8, "intAsciiCode >= 97", "intAsciiCode > 97"
11, ConditionalsBoundary, 8, "intAsciiCode <= 122", "intAsciiCode < 122"
12, ConditionalsBoundary, 9, "intAsciiCode >= 65", "intAsciiCode > 65"
13, ConditionalsBoundary, 9, "intAsciiCode <= 90", "intAsciiCode < 90"
14, ConditionalsBoundary, 11, "intShiftToZero > 0", "intShiftToZero >= 0"
