01, NegateConditionals, 7, "availCapacity < len", "availCapacity >= len"
02, NegateConditionals, 13, "0 < len", "0 >= len"
03, ConditionalsBoundary, 7, "availCapacity < len", "availCapacity <= len"
04, ConditionalsBoundary, 13, "0 < len", "0 <= len"
05, Increments, 14, "sbufPos++", "sbufPos--"
06, Math, 6, "data.length - ofs", "data.length + ofs"
07, Math, 11, "len >> 1", "len << 1"
08, Math, 14, "(data[ofs] << 8) | (data[ofs + 1] & 0x0ff)", "(data[ofs] << 8) & (data[ofs + 1] & 0x0ff)"
09, Math, 14, "data[ofs] << 8", "data[ofs] >> 8"
10, Math, 14, "data[ofs + 1] & 0x0ff", "data[ofs + 1] | 0x0ff"
11, Math, 14, "ofs + 1", "ofs - 1"
12, VoidMethodCalls, 11, "sbuf.setLength(len >> 1);
", "DELETED"
13, VoidMethodCalls, 14, "sbuf.setCharAt(sbufPos++,(char)((data[ofs] << 8) | (data[ofs + 1] & 0x0ff)));
", "DELETED"
